2026-07-25	8	design, scaffolding
2026-07-26	7	scheduling, types, roadmap
2026-07-27	1	design
2026-07-28	4.5	design, LeitnerLadder
2026-07-29	2.5	design
2026-07-30	3	design
2026-08-02	2	roadmap
2026-08-04	1	architecture
2026-08-09	6	architecture code, review C# fundamentals
2026-08-10	1	tests
2026-08-13	3	tests
2026-08-14	3	tests
2026-08-15	2	tests
2026-08-22	2	scheduler types
2026-08-23	1	scheduler types
2026-09-02	5	tests, Entry
2026-09-03	1	Entry
2026-09-07	2	tests
2026-09-08	2	tests
2026-09-09	1	architecture
2026-09-11	1	data
2026-09-15	2.5	data
2026-09-22	3	data
2026-09-23	3.5	general fixes
2026-09-24	5	general fixes
2026-09-25	2	JSON
